,Year,Season,Site,Depth,Transect..,Meter.Mark,Coral,Algae,Algae.Functional.Group,CoralAlgae,Maximum.colony.diameter,Length.of.edge.in.contact,Outcome,Proportion of colony in contact
1,2015,Spring,Harry's Bommie 8m,8,1,1.2,Montipora,filamentous,filamentous,Monfila,1,0.14,0,0.14
2,2015,Spring,Harry's Bommie 8m,8,1,1.2,Montipora,filamentous,filamentous,Monfila,1,0.14,0,0.14
3,2015,Spring,Harry's Bommie 8m,8,1,1.2,Montipora,filamentous,filamentous,Monfila,1,0.14,0,0.14
4,2015,Spring,Harry's Bommie 8m,8,1,1.2,Montipora,cyanobacteria,cyanobacteria,Moncyan,1,0.05,0,0.05
5,2015,Spring,Harry's Bommie 8m,8,1,1.8,Stylophora,filamentous,filamentous,Styfila,0.22,0.05,0,0.227272727
6,2015,Spring,Harry's Bommie 8m,8,1,2.4,Favites,filamentous,filamentous,Favtfila,0.5,0.18,0,0.36
7,2015,Spring,Harry's Bommie 8m,8,1,3,Stylophora,filamentous,filamentous,Styfila,0.15,0.02,0,0.133333333
8,2015,Spring,Harry's Bommie 8m,8,1,3,Stylophora,filamentous,filamentous,Styfila,0.15,0.02,0,0.133333333
9,2015,Spring,Harry's Bommie 8m,8,1,3,Stylophora,filamentous,filamentous,Styfila,0.15,0.02,0,0.133333333
10,2015,Spring,Harry's Bommie 8m,8,1,3.6,Stylophora,filamentous,filamentous,Styfila,0.31,0.12,0,0.387096774
11,2015,Spring,Harry's Bommie 8m,8,1,6.2,Porites (massive),ACA,articulate calcaerous,PormACA,0.18,0.03,1,0.166666667
12,2015,Spring,Harry's Bommie 8m,8,1,6.2,Porites (massive),ACA,articulate calcaerous,PormACA,0.18,0.03,1,0.166666667
13,2015,Spring,Harry's Bommie 8m,8,1,6.2,Porites (massive),ACA,articulate calcaerous,PormACA,0.18,0.03,1,0.166666667
14,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
15,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
16,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
17,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
18,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
19,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
20,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
21,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
22,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
23,2015,Spring,Harry's Bommie 8m,8,1,9.2,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
24,2015,Spring,Harry's Bommie 8m,8,1,14,Acropora,filamentous,filamentous,Acrfila,0.75,0.02,0,0.026666667
25,2015,Spring,Harry's Bommie 8m,8,1,14,Acropora,filamentous,filamentous,Acrfila,0.75,0.02,0,0.026666667
26,2015,Spring,Harry's Bommie 8m,8,1,14,Acropora,filamentous,filamentous,Acrfila,0.75,0.02,0,0.026666667
27,2015,Spring,Harry's Bommie 8m,8,2,1.9,Acropora,Chlorodesmis fastigiata,corticated foliose algae,AcrCfas,0.22,0.02,1,0.090909091
28,2015,Spring,Harry's Bommie 8m,8,2,1.9,Isopora,Chlorodesmis fastigiata,corticated foliose algae,IsoCfas,0.12,0.04,1,0.333333333
29,2015,Spring,Harry's Bommie 8m,8,2,1.9,Isopora,Chlorodesmis fastigiata,corticated foliose algae,IsoCfas,0.12,0.04,1,0.333333333
30,2015,Spring,Harry's Bommie 8m,8,2,2.5,Merulina,filamentous,filamentous,Merfila,1,0.04,0,0.04
31,2015,Spring,Harry's Bommie 8m,8,2,4,Acropora,filamentous,filamentous,Acrfila,0.45,0.05,0,0.111111111
32,2015,Spring,Harry's Bommie 8m,8,2,4,Acropora,filamentous,filamentous,Acrfila,0.45,0.05,0,0.111111111
